,123541
Valve,121205
Feral Interactive (Mac),63191
Infinity Ward,54492
Gearbox Software,54291
Firaxis Games,49169
Aspyr (Mac),48560
Bethesda Game Studios,48014
Spiral Game Studios,47755
Aspyr (Mac & Linux),45277
Facepunch Studios,45147
Feral Interactive (Linux),44933
"Monochrome, Inc",41597
"Aspyr (Mac, Linux)",41345
Bohemia Interactive,41081
Re-Logic,36628
Zachtronics,35448
Tripwire Interactive,34458
Obsidian Entertainment,34311
Coffee Stain Studios,34153
Digital Extremes,33483
Rebellion,31520
Relic Entertainment,31513
Volition,31215
Smartly Dressed Games,29089
Ubisoft Montreal,28355
Arrowhead Game Studios,28309
4A Games,27266
Avalanche Studios,27046
The Creative Assembly,27043
DICE,26817
Irrational Games,26569
Arkane Studios,26443
Klei Entertainment,26062
Techland,25587
Runic Games,25308
OVERKILL - a Starbreeze Studio.,25000
CD PROJEKT RED,25000
Rockstar North,24632
Rockstar Toronto,24230
Virtual Programming (Linux),24049
Defence Alliance Team,23417
BioWare,22958
Telltale Games,22933
Rocksteady Studios,22133
2K Australia,21772
Crystal Dynamics,21460
Frozenbyte,20958
Daybreak Game Company,20912
Subset Games,20256
Robot Entertainment,20188
Crytek Studios,20176
Treyarch,20035
Torn Banner Studios,19770
2K Marin,19719
2K Boston,19542
IO Interactive,19271
Edmund McMillen and Florian Himsl,19012
Croteam,18827
FromSoftware,18017
Supergiant Games,17793
Rockstar North / Toronto,17555
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",17523
Criterion Games,17316
Double Fine Productions,17176
EA Redwood Shores,17162
Hidden Path Entertainment,17004
Haemimont Games,16824
Ensemble Studios,16514
Vigil Games,16323
Unknown Worlds Entertainment,16267
2K China,16257
The Behemoth,16158
TaleWorlds Entertainment,15597
Remedy Entertainment,15293
Trendy Entertainment,15246
OVERKILL Software,15199
Frictional Games,14742
Gas Powered Games,14605
EA Los Angeles,14540
Paradox Development Studio,14497
id Software,14461
Crytek,14336
Freejam,14072
Team17 Digital Ltd,13926
Team Meat,13658
Electronic Arts,13556
Playdead,13515
Ronimo Games,13260
Stardock Entertainment,12958
United Front Games,12824
Dennaton Games,12777
Iron Lore Entertainment,12687
Sledgehammer Games,12679
Rockstar Games,12660
Day 1 Studios,12599
Gaijin Entertainment,12511
Skybox Labs,12472
Monolith,12368
Splash Damage,12253
Rockstar Studios,12226
Edge of Reality,11977
Terry Cavanagh,11840
Larian Studios,11788
Capcom,11706
Grinding Gear Games,11461
"Monolith Productions, Inc.",11443
Dylan Fitterer,11345
Deep Silver Volition,11310
Introversion Software,11309
5th Cell Media,11271
Fatshark,11139
Creative Assembly,11107
Reto-Moto,10849
Nordic Games,10833
Triumph Studios,10729
Bossa Studios,10708
Ion Storm,10708
2K Czech,10552
Rockstar Leeds,10499
Team Bondi,10499
Snowblind Studios,10435
GSC Game World,10291
Keen Software House,10157
Uber Entertainment,10092
Pocketwatch Games,10031
Pandemic Studios,10002
"Mine Loader Software Co., Ltd.",9988
Polytron Corporation,9904
Gaijin Games,9692
Jagex Limited,9678
Ubisoft,9639
Yager Development,9560
Undead Labs,9560
"PopCap Games, Inc.",9480
Piranha Bytes,9340
Squad,9265
LucasArts,9236
Cryptic Studios,9188
NeocoreGames,9177
Muse Games,9109
Cellar Door Games,9074
Looking Glass Studios,9072
The Chinese Room,9042
Galactic Cafe,8952
EA - Maxis,8916
Psyonix,8812
Blue Byte,8726
Almost Human Games,8607
Timegate,8549
"Trion Worlds, Inc.",8536
Number None,8533
Nicalis,8471
Humble Hearts LLC,8448
Relic,8447
3909,8442
"FromSoftware, Inc",8433
WB Games Montreal,8263
Outerlight Ltd.,8242
FireFly Studios,8219
Zombie Panic Team,8197
2D BOY,8061
Abbey Games,8056
AMPLITUDE Studios,8036
Red 5 Studios,7926
Cyanide Studios,7911
Ironclad Games,7879
"Tequila Works, S.L.",7849
Alexander Bruce,7746
800 North and Digital Ranch,7700
SQUARE ENIX,7650
Square Enix,7603
Stainless Games,7587
Big Huge Games,7577
Shining Rock Software LLC,7575
Eugen Systems,7464
"Epic Games, Inc.",7452
Amanita Design,7452
Reactor Zero,7394
Giant Army,7381
ACE Team,7380
NetherRealm Studios,7308
High Voltage Software,7308
SCS Software,7283
New World Interactive,7270
"Hopoo Games, LLC",7205
Robert Briscoe,7197
"Aspyr (Mac, Linux, & Windows Update)",7192
Positech Games,7189
11 bit studios,7175
Visceral Games,7126
Reloaded Games,7019
Paradox North,6928
Codemasters Studios,6922
Harebrained Schemes,6911
Greenheart Games,6880
Related Designs,6810
Kaos Studios,6784
Mode 7,6767
MinMax Games Ltd.,6759
Raven Software,6755
Studio Pixel,6737
Bithell Games,6707
Tomorrow Corporation,6681
SimBin,6664
Egosoft,6627
Zeboyd Games,6562
Size Five Games,6555
38 Studios,6535
DrinkBox Studios,6453
OP Productions LLC,6358
Ascaron,6287
Two Tribes,6258
Zombie Studios,6201
Bethesda Game Studios®,6188
No More Room in Hell Team,6131
"Gaslamp Games, Inc.",6107
Eidos Montreal,6105
Suspicious Developments,6104
Streum On Studio,6095
Superbrothers,6085
Capybara,6085
Jim Guthrie,6085
Freebird Games,6023
Reality Pump Studios,5961
City Interactive,5947
Ubisoft Montpellier,5929
Flying Wild Hog,5883
Traveller's Tales,5879
Lionhead Studios,5875
Endnight Games Ltd,5854
Ino-Co Plus,5847
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",5826
The Fun Pimps,5819
Daedalic Entertainment,5806
Sector3 Studios,5747
"MicroProse Software, Inc",5739
Free Lives,5718
Colossal Order Ltd.,5625
Final Form Games,5600
Phosphor Games Studio,5598
Vlambeer,5572
Darklight Games,5543
Sandstorm Productions,5543
RuneStorm,5505
Lazy 8 Studios,5490
Double Helix Games,5467
1C Company,5454
Starbreeze Studios AB,5448
Black Forest Games,5424
Beamdog,5406
Black Pants Studio,5393
Ubisoft Singapore,5390
Eidos-Montréal,5378
Blackhole,5371
Cold Beam Games,5340
Trion Worlds,5291
Blendo Games,5259
Red Barrels,5229
Wild Shadow Studios,5201
Kloonigames,5199
Maxis™,5176
Alientrap,5077
Puppygames,5024
Born Ready Games Ltd.,5004
Broken Rules,4982
Boss Baddie,4974
Devil's Details,4949
Reloaded Productions,4939
"Arcen Games, LLC",4937
Ubisoft  Shanghaï,4933
Might and Delight,4886
People Can Fly,4880
Jasper Byrne,4825
Synergy Team,4813
Wolfire Games,4780
Radical Entertainment,4760
Nival,4693
Alligator Pit,4674
inXile Entertainment,4664
Team Chivalry,4653
Cyanide,4645
Petroglyph,4629
Focus Home Interactive,4605
"Volition, Inc.",4563
Sos,4537
Insurgency Development Team,4500
Murudai,4487
Critical Studio,4470
Black Isle Studios,4430
Power of 2,4416
"Dejobaan Games, LLC",4405
Vanguard Games,4361
Funcom,4334
Ubisoft Toronto,4328
The Farm 51,4317
Interplay Inc.,4298
Southend,4297
Konstantin Koshutin,4291
Gazillion Entertainment,4278
Three Rings,4266
Hemisphere Games,4260
Rockstar New England,4231
Code}{atch,4224
Crackshell,4207
The Men Who Wear Many Hats,4196
Ninja Theory,4189
14° East,4121
Running With Scissors,4077
The Indie Stone,4076
EKO Software,3996
Sumo Digital,3961
Starbreeze,3919
Big Sandwich Games,3918
The Sims Studio,3916
4 Head Studios,3903
DotEmu,3901
Ratloop Asia,3898
Codemasters Action Studio,3889
Troika Games,3861
Octoshark Studios,3854
EasyGameStation,3850
Rainbow Studios,3829
Katauri Interactive,3817
Ed Key and David Kanaga,3801
Capcom Vancouver,3791
SuperVillain Studios,3766
Aspyr Studios,3763
Misfits Attic,3747
Kerberos Productions Inc.,3746
Ragequit Corporation,3734
Aleksey Abramenko,3724
Eyebrow Interactive,3722
Digitalmindsoft,3671
Sidhe,3659
Unigine Corp.,3637
"Edmund McMillen, Tyler Glaiel",3636
Machine Games,3634
Wizarbox,3631
Puny Human,3610
Spicy Horse Games,3581
Codemasters Racing,3569
Ndemic Creations,3565
Going Loud Studios,3564
Recoil Games,3548
Cipher Prime Studios,3456
Fistful of Frags Team,3404
Hothead Games,3393
Spellbound Studios,3386
Frontier,3375
Nihon Falcom,3363
Stainless Games Ltd,3352
Realmforge Studios,3336
SkyBox Labs,3330
Nadeo,3319
Strange Loop Games,3310
Threaks,3287
Bugbear Entertainment,3286
High Moon Studios,3277
Minority Media Inc.,3263
InterWave Studios,3261
Tribute Games Inc.,3251
Pyro Studios,3236
Codemasters Racing Studio,3210
3D Realms,3207
Pieces Interactive,3202
BlinkWorks Media,3195
Stoic,3188
Hardsuit Labs,3180
Kot in Action Creative Artel,3173
Headup Games,3170
The Fullbright Company,3165
GameConnect,3161
Signal Studios,3141
"Bit Blot, LLC",3140
Retro Affect,3100
KADOKAWA,3099
Hitbox Team,3087
Red Storm Entertainment,3084
Liquid Entertainment,3082
Nabi Studios,3063
Revolution Software Ltd,3060
PlatinumGames,3044
Best Way,3031
CCP,3021
Firaxis,3009
Mommy's Best Games,3003
Airtight Games,2980
increpare games,2968
Owlchemy Labs,2968
Ritual Entertainment,2964
Hello Games,2961
Shiro Games,2961
Cryptic Sea,2959
Altar Games,2940
Gray Matter Studios,2939
Spiderweb Software,2939
Anuman,2933
"Hassey Enterprises, Inc.",2929
Frogwares,2916
Teotl Studios,2906
Kyle Pulver,2897
Lab Zero Games,2881
22cans,2879
IllFonic,2864
Zen Studios,2854
SEGA,2842
Dark Energy Digital Ltd.,2841
"Masangsoft, Inc.",2827
Giants Software,2826
Digital Reality,2821
Swing Swing Submarine,2818
Team Psykskallar,2795
General Arcade,2773
Spark Unlimited,2766
"Xavi Canal, Ben Palgi",2765
Droqen,2755
"Turbine, Inc.",2749
Oddworld Inhabitants,2749
Robotronic Games,2736
DiezelPower,2727
Artifice Studio,2720
Quadro Delta,2705
Vitali Kirpu,2705
Smudged Cat Games Ltd,2633
Coreplay GmbH,2605
STUDIO RADI-8,2603
"CAPCOM Co., Ltd.",2587
NAMCO,2587
NGD Studios,2585
Core Design,2575
Dovetail Games,2535
TimeGate Studios,2534
Expansive Worlds,2515
Opus,2506
Secret Exit Ltd.,2505
Behold Studios,2496
exosyphen studios,2493
Old School Games,2488
Codemasters Birmingham,2478
Hanako Games,2475
Black Element,2469
Fishlabs Entertainment GmbH,2451
Krystian Majewski,2450
Microids,2443
Mind Over Matter Studios,2430
MercurySteam - Climax Studios,2428
Ascaron Entertainment ltd.,2427
Redlynx Ltd,2423
Hi-Rez Studios,2405
Subsoap,2385
@unepic_fran,2376
DnS Development,2373
BetaDwarf,2361
Eden Studios,2349
"CINEMAX, s.r.o.",2348
Infinite Interactive,2347
Days of Wonder,2346
Bigmoon Studios,2344
Straandlooper,2335
DONTNOD Entertainment,2331
Invent4 Entertainment,2320
Replay Studios,2315
1C: Maddox Games,2311
"Q-Games, Ltd.",2310
Star Gem Inc.,2283
Rebelmind,2278
Curve Studios,2277
Arkedo,2249
Piranha – Bytes,2246
Dreampainters,2238
Full Control Studios,2229
CodeBrush Games,2222
Empty Clip Studios,2217
"Creative Assembly, PC Port - Hardlight",2198
1C:InoCo,2198
Akella,2186
Digerati Distribution,2181
Serellan LLC,2175
SNK Playmore,2165
Joshua Neurnberger,2159
Pathea Games,2150
Xatrix Entertainment,2145
Kudosoft,2139
Creability,2135
Benjamin Rivers,2117
Nexon,2116
Steel Monkeys,2115
Rogue Entertainment,2113
Zero Point Software,2112
Blit Software,2103
1C-SoftClub,2095
Sauropod Studio,2090
Yeti Trunk,2086
BioWare Corporation,2077
Spiders,2072
Zero Sum Games,2058
Young Horses,2057
Sigma Team Inc.,2038
X-Legend,2038
YoYo Games Ltd.,2036
Silver Dollar Games,2032
Team17 Software Ltd.,2024
Demiurge Studios,2020
Rune Forge,2004
"Vblank Entertainment, Inc.",1992
Ty Taylor and Mario Castañeda,1982
Noble Empire Corp.,1978
Beatnik Games,1969
Futuremark,1966
Modern Dream,1945
Subatomic Studios LLC,1944
David Williamson,1942
Ubisoft Paris,1941
Silent Dreams,1936
Big Robot Ltd,1935
Ludosity,1932
Transhuman Design,1928
Eidos Interactive,1920
Snowbird Games,1919
Strategy First,1910
Ironhide Game Studio,1907
Nicklas Nygren,1904
Nemesys Games,1903
Mindware Studios,1899
Handyman Studios,1893
CSR-Studios,1881
Lukewarm Media,1879
Iridium Studios,1878
3 Sprockets,1873
CyberConnect 2,1872
Interceptor Entertainment,1871
Topware Interactive,1852
Rockstar San Diego,1840
.dat,1839
Slightly Mad Studios,1827
"FIX Korea, Co.LTD",1825
"FIX Games, Co. LTD",1825
DoubleDutch Games,1808
Nimbly Games,1805
Hitcents,1802
Krome Studios,1792
Minor Key Games,1787
PopTop Software,1786
Sean HTCH and Joni Kittaka,1786
Frog City Software,1786
BreakAway Games,1786
Smoking WOLF,1757
Toxic Games,1755
Spooky Squid Games Inc.,1726
Ubisoft - San Francisco,1725
Test3 Projects,1722
Elixir Studios,1715
Targem Games,1710
Most Wanted Entertainment,1710
Michael Todd Games,1695
Paul Fisch,1691
Image&Form,1686
Epiphany Games,1685
Edelweiss,1681
Games Farm,1679
Colin Northway with art by Thomas Shahan,1671
Dancing Dragon Games,1669
343 Industries,1668
EXOR Studios,1661
NIGORO,1660
ClockStone,1655
Tiger Style,1644
XYLA Entertainment,1637
WayForward,1632
Kerberos Productions,1627
Stridemann,1626
Toylogic inc.,1621
Data Realms,1619
Badland Studio,1618
"Level Up Labs, LLC",1618
Headup Games / Crenetic,1607
Idea Factory,1604
Capybara Games,1595
Tale of Tales,1582
Gaming Minds Studios,1580
17-BIT,1580
RosePortal Games,1572
Brawsome,1570
Dmytry Lavrov,1569
Gaming Minds,1566
Mighty Rabbit Studios,1565
3Division,1562
Spearhead Games,1558
Fabio Ferrara,1551
N3V Games,1549
Dark Water Studios Ltd,1541
Messhof,1528
ISOTX,1527
Visual Concepts,1522
Phenomic,1511
TT Games,1510
State of Play Games,1504
UBIart Montpellier,1502
Ubisoft Reflections,1498
Massive Entertainment,1497
KING Art,1479
Ben Garney,1478
Eric Hartman,1478
Anthony Rotondo,1478
Masthead Studios Ltd,1454
Vertigo Gaming Inc.,1453
Oovee® Game Studios,1452
Extend Studio,1451
Spaces of Play,1451
Fakt Software,1445
Cobra Mobile,1441
Tribe Studios,1439
Smashball Labs LLC,1438
Bugbear,1438
Eggtooth Team,1424
Actoz Soft,1420
RavenSoft / id Software,1412
The Odd Gentlemen,1409
Sick Puppies,1406
ClockStone Studios,1402
Playbrains,1399
Lo-Fi Games,1394
Carbon Games,1384
Crescent Moon Games,1379
Logic Artists,1378
Homegrown Games,1371
SmashGames,1363
"Reverie World Studios, INC",1353
Shiver Games,1353
ES Team,1346
Rake in Grass,1339
Spellbound,1333
Wadjet Eye Games,1331
Tindalos Interactive,1329
StarWraith 3D Games LLC,1325
Digital Eel,1321
U.S. Army,1319
PopTop,1315
Katauri,1313
Double Eleven,1305
Q-Games. Ltd,1305
Bizarre Creations,1300
Halycon Media GmbH & Co. KG,1298
Zeal Game Studio,1294
Actalogic,1292
M2H,1280
Blackmill Games,1280
Nitro Games,1277
Geoff Keighley,1271
EA Black Box,1270
"CAPCOM CO., LTD.",1268
Gaijin Entertainment Corporation,1265
Lesta Studio,1265
Shadow Planet Productions,1263
Alan Edwardes,1259
Ex Nihilo,1258
Cadenza Interactive,1257
Nom Nom Games,1257
Krillbite Studio,1256
Stickmen Studios,1253
Exor Studios,1250
EightyEightGames,1249
Gun.,1243
Blind Mind Studios,1243
YouNeedABudget.com,1243
DPad Studios,1238
Trine Studios,1237
Mad Vulture Games,1237
G3 Community Patch Team,1237
Army Game Studio,1230
Virtual Heroes,1230
Zoë Mode,1220
MumboJumbo,1214
Petit Depotto,1213
Wales Interactive,1204
ASTRO PORT,1203
Hermitworks Entertainment,1202
Archive Entertainment,1197
Clockstone,1192
Headfirst Productions,1191
SimBin Studios AB,1188
Blue Isle Studios,1187
Team 6 Studios,1185
Flippfly LLC,1182
Little Green Men Games,1173
Jussi Kukkonen,1168
Elias Viglione,1168
"Gravity, Inc.",1164
Exato Games Studio,1153
LudoCraft Ltd.,1143
IonFx,1142
RED DUCK Inc.,1138
Mystic Box,1137
"Iron Galaxy Studios, LLC",1135
PlayWay S.A.,1131
Cherry Pop Games,1130
Serious Brew,1129
United Independent Entertainment GmbH,1127
"Capcom U.S.A., Inc.",1125
Zeroscale,1123
Nomad Games,1113
Lunar Giant,1106
Arachnid Games,1097
Headup Games / Radon Labs,1083
Neko Entertainment,1075
Crystal Shard,1072
Elephant Games,1070
KOG,1066
Artery Games,1056
sparsevector,1055
Elite Games Team,1051
Troxit Service,1046
Crate Entertainment,1044
Cyanide Montreal,1042
Awesome Games Studio,1039
Ubisoft Montréal,1037
Manic Game Studios,1033
Kunos Simulazioni,1031
"KOEI TECMO GAMES CO., LTD.",1031
Shovsoft,1029
doublesix,1027
Ice-pick Lodge,1023
Mercenary Technologies,1022
Qooc Software,1018
Mediatonic,1014
CI Games,1011
Blue Bottle Games,1010
Eidos Studio Hungary,1007
Ian Campbell,1004
Yacht Club Games,1002
Cube Roots,1000
Colibri Games,999
White Birds Productions,998
2DEngine.com,991
IonFX,991
Lucky Frame,989
Malfador Machinations,982
Crackpot Entertainment,980
Studio Evil,975
Med-Art,974
Anuman / Microids,970
Tomoaki Sugeno,967
Zenith Blue,964
Terminal Reality,963
The Quinnspiracy,962
Isaac Schankler,962
Patrick Lindsey,962
Red Redemption,962
3f Interactive,959
BattleGoat Studios,951
Ivy Games,949
Gravity Interactive,949
Sebastien Bini,947
Goldhawk Interactive,946
Eagle Dynamics,942
Lizsoft,942
"Vectorpark, Inc.",942
Abstraction Games,939
Radial Games Corp,938
SpinTop Games,935
Priority Interrupt,931
Love in Space,922
Lightmare Studios,921
9heads Game Studios,920
Ubisoft Romania,912
b-Alive,911
Scott Cawthon,909
Megadev,895
Reality Pump,893
Red Dot Games,892
Dekovir Entertainment,892
Firemint,888
Unicorn Games Studio,884
FarSight Studios,879
Dialogue Design,877
Wolfire,874
Allgraf,870
"WXP Games, LLC",868
Chaos Concept,866
Eyedentity Games Inc.,863
Wild Games Studio,862
Sakari Indie,858
Shiny Entertainment,856
Ludochip,856
Redlynx,854
DR Studios,852
Sir-Tech,850
Meridian4,848
Octane Games,848
Darkling Room,847
Rage Software,846
RTL interactive,845
Ankama,845
Games Foundry,842
Wormwood Studios,841
Twisted Pixel Games,840
JoWooD Vienna,839
QCF Design,839
Berserk Games,836
Zootfly,836
Crazy Viking Studios,836
Beenox,835
Love Conquers All Games,833
Dark Gaia Studios,831
Source Studio Ltd.,830
Cauldron,830
Haggard Games,829
GamePrix,829
VStep,829
Tragnarion Studios,826
Cyanide Studio - Spiders Studios,825
Arc System Works,824
Deck 13,824
SkyGoblin,822
Wargaming.net,819
Ignatus Zuk and Gonzalo Villagomez,817
Blackpowder Games,811
Mousechief,810
NEXON Korea Corp.,809
Cardboard Computer,808
Cosmic Cow LLC,807
Game Distillery s.r.o.,805
Koboldgames,804
The Story Mechanics,803
Brian Cronin,802
Remedy Entertainment Ltd.,797
Cornfox & Brothers Ltd.,797
Mountain Sheep Inc.,797
AWAR,796
X1 Software,796
Cloud 9 Studio,795
Storybird,795
Carlsen Games,794
Snowed In Studios,794
Soldak Entertainment,793
Cyan Worlds,793
Doctor Entertainment,785
Rising Star Games,782
Freegamer,780
Martin Ivanov,779
Capcom Game Studio Vancouver,777
Sir-Tech Canada,776
2x2 Games,776
Stone Blade Entertainment,774
ASK Homework,774
Slant Six Games,773
Cateia Games,771
Robomodo,766
Basilisk Games,766
Seaven Studio,763
Empires,762
Triple.B.Titles,761
Bootsnake Games,760
kunst-stoff GmbH,760
"Tilted Mill Entertainment, Inc.",759
Doctor Entertainment AB,758
Dead Mage,755
Team Reptile,754
Stegersaurus Software Inc.,752
Cyberdreams,749
Scientifically Proven,746
Crankshaft Games,744
"Vicious Cycle Software, Inc.",743
Endless Loop Studios,742
Illwinter Game Design,740
Tate Multimedia,738
Worthless Bums,735
Ganz,734
Crazy Moo Games,732
Saber Interactive,730
NQ Games,730
Tennen-sozai,729
Ackk Studios,729
DarkGod,727
Subterranean Games,722
Scirra,721
Locked Door Puzzle,718
I-Illusions,718
Wyrmbyte,718
Cyberlore,717
Online Warmongers Group Inc.,715
Renegade Kid,712
Passtech Games,712
Flat Software,710
Streko Graphics,710
Talawa Games,706
Stunlock Studios,706
Bernt Andreas Eide,705
Pendulo Studios,701
Human Head Studios,701
Artifex Mundi,699
Orange_Juice,699
Platine Dispositif,698
Evolutionary Games,697
Bedlam Games,696
Vogster Entertainment,695
Iron Galaxy Studios,693
Ino-Co,693
Necrophone Games,691
Fire Hose Games,691
The Binary Mill,690
Nifflas' Games,688
TT Fusion,688
Fuel Entertainment,687
Flyleap Studios Pty. Ltd.,683
Joakim Sandberg,681
Over the Top Games,679
SoftLab-NSK,674
X-Bow Software,668
TURBO TAPE GAMES,666
Secret Base,663
Digital Arrow,658
Digital Reality Software & Playbox,652
YeaBoing,652
Phr00t's Software,643
Noumenon Games,641
The Tiniest Shark,641
NeoCoreGames,637
Elemental Games,636
"Frogdice, Inc",636
SNK Games,636
"Bit Planet Games, LLC",636
Dragonfly,635
Over The Moon,635
Chasing Carrots,634
Cakewalk,630
Thomas Bowker,629
Brace Yourself Games,626
Muzzy Lane,625
Radon Labs,623
"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",622
Kheops Studio,621
Milkstone Studios,621
Blue Omega Entertainment,620
Full Control / WIT Entertainment,616
Squid In A Box Ltd,615
Harvester Games,609
Sakari Indie & GriN,608
Chronic Logic,608
FreakZone Games,607
MercurySteam,607
Press Play,603
Winter Wolves,600
Mithis Games,600
Slak Games,598
Oxeye Game Studio,598
KTX Software,598
Elijah Newman-Gomez,596
Senscape,590
Lonely Troops,589
Pivotal Games,587
Frogames,587
Coilworks,587
TreeFortress Games,586
Agharta Studio,584
Trilobyte Games,584
I-deal Games,583
Cockroach Inc.,582
24 Caret Games,581
Digital Tentacle,578
Perfect World Entertainment,578
Adam Foster,576
Blue Fang,576
Black Sea Studios Ltd,575
Cyanide Studio,575
Vagabond Dog,575
Dischan Media,574
The Bitmap Brothers,573
Black Jacket Studios,568
Moonpod,566
Matthew Brown,563
Kiz Studios,559
ShadowShifters,558
Stage 2 Studios,557
Buka Entertainment,557
Ubisoft Sofia,557
773,553
Binary Takeover,552
Eden Industries,551
Three Gates,550
Ironward,550
Curve Digital,550
FuturLab,550
ExDream GmbH,548
XLGAMES,544
David OReilly,538
BUGBEAR,537
XII Games,534
Jason Rohrer,534
Acclaim Studios Teeside,533
2DArray,532
BeautiFun Games,532
Enigma SP,531
Totem Games,530
BlueGiant Interactive,525
Imba Entertainment,524
Xaviant,524
TORaIKI,523
Sky Fallen,521
Radioactive Software,521
1C-Avalon,519
Mad Otter Games,519
Xtal Sword,519
Compulsion Games,519
Eutechnyx,516
Microblast Games,515
Crocodile Entertainment,515
Mechanist Games,514
ProjectorGames,511
Spry Fox LLC,511
Eclipse Games,511
